// ['CORPSX', 'CORPSY', 'MSTRNG', 'SWAP', 'ARRIVE', 'CORPT', 'CORPNO']
[
    [0, 0, 0, 0, 255, 0, 0],
    [21, 8, 78, 253, 2, 0, 16],
    [29, 33, 121, 253, 2, 0, 20],
    [0, 28, 114, 253, 2, 0, 6],
    [28, 30, 105, 253, 3, 0, 24],
    [21, 20, 122, 253, 3, 0, 40],
    [21, 28, 127, 253, 4, 0, 29],
    [21, 33, 129, 253, 4, 0, 30],
    [20, 27, 105, 253, 5, 0, 31],
    [20, 30, 111, 253, 5, 0, 32],
    [12, 8, 112, 253, 6, 0, 33],
    [0, 10, 127, 253, 6, 0, 37],
    [0, 32, 119, 253, 7, 0, 43],
    [0, 11, 89, 253, 8, 0, 49],
    [0, 25, 108, 253, 8, 0, 50],
    [0, 12, 113, 253, 8, 0, 52],
    [0, 23, 105, 253, 9, 0, 54],
    [0, 13, 94, 253, 9, 0, 55],
    [21, 29, 103, 254, 5, 114, 1],
    [25, 30, 97, 253, 5, 0, 34],
    [0, 31, 108, 253, 2, 112, 1],
    [0, 15, 110, 253, 9, 112, 2],
    [0, 27, 111, 253, 10, 112, 3],
    [0, 17, 96, 253, 10, 112, 4],
    [0, 25, 109, 253, 6, 0, 39],
    [0, 11, 112, 253, 11, 0, 59],
    [0, 23, 95, 253, 5, 0, 60],
    [0, 19, 93, 253, 17, 0, 61],
    [0, 21, 114, 254, 2, 114, 2],
    [0, 33, 103, 254, 11, 1, 1],
    [0, 28, 107, 254, 20, 113, 1],
    [0, 13, 105, 253, 21, 112, 5],
    [0, 26, 92, 254, 22, 1, 2],
    [0, 10, 109, 253, 23, 112, 6],
    [0, 29, 101, 254, 24, 1, 3],
    [0, 35, 106, 254, 26, 1, 4],
    [0, 27, 95, 253, 28, 0, 38],
    [0, 15, 99, 254, 30, 0, 36],
    [38, 30, 101, 253, 2, 0, 35],
    [21, 22, 118, 253, 3, 0, 28],
    [12, 8, 106, 253, 3, 0, 25],
    [20, 13, 112, 253, 3, 0, 23],
    [21, 14, 104, 253, 3, 0, 17],
    [20, 28, 185, 253, 6, 4, 8],
    [15, 3, 108, 253, 6, 4, 10],
    [21, 3, 94, 253, 4, 4, 3],
    [20, 3, 102, 253, 4, 4, 5],
    [19, 2, 98, 253, 4, 4, 6],
]
